Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-23,126.828,126.828,123.7887,125.4018,595811.4910544
2020-10-26,124.1049,124.6893,122.937,123.7389,645664.5552041
2020-10-27,124.0947,124.6194,121.4916,121.5207,548592.79881583
2020-10-28,120.2049,120.8178,117.5514,118.2339,623242.09060153
2020-10-29,118.2339,120.1455,117.2841,118.5114,621964.2990112
2020-10-30,117.591,119.4423,116.3337,117.5214,844656.6052403
2020-11-02,118.9377,121.3128,118.7487,119.6403,546048.3268664
2020-11-03,121.5018,123.3324,120.6204,121.3329,443414.89419643
2020-11-04,122.412,127.7679,122.4024,125.5797,707034.91556957
2020-11-05,125.8371,130.0152,125.8371,129.3912,870532.6425285
2020-11-06,129.4011,130.1346,128.0259,129.3822,617517.7862992
2020-11-09,135.4995,135.4995,125.5311,125.9565,1044052.7000482
2020-11-10,125.5509,126.2535,122.4219,123.4917,1276619.8604964
2020-11-11,123.9468,127.5606,123.8871,126.0657,678458.84909483
2020-11-12,126.5409,126.5409,122.8275,123.2145,650139.3510501
2020-11-13,123.8076,124.5312,121.7196,122.2044,796128.8079416
2020-11-16,122.9271,122.9271,120.5805,121.9173,1125214.1834409
2020-11-17,122.2641,122.4219,120.1155,120.7782,1021111.0379141
2020-11-18,120.4821,120.6105,118.7202,119.2152,1030919.2247458
2020-11-19,120.5508,123.0651,119.3334,121.1847,1144465.906698
2020-11-20,121.6002,123.7293,121.0854,122.6994,973780.2232514
2020-11-23,123.1644,123.8277,121.2636,122.3826,729416.97569497
2020-11-24,122.5017,124.0749,122.4219,123.6297,941059.66753147
2020-11-25,123.5502,124.5312,123.3924,123.6891,767314.35505163
2020-11-27,123.3324,123.8673,122.6499,123.4818,532928.99313103
2020-11-30,123.3822,124.5999,122.7978,124.3323,1068235.7897432
2020-12-01,123.6891,126.6588,123.6891,126.1839,751770.75268637
2020-12-02,126.471,126.7584,125.046,126.1242,583911.36241747
2020-12-03,123.7092,123.8769,120.1947,121.7682,1913471.1891189
2020-12-04,121.7394,123.8376,121.5603,122.1648,871934.67788613
2020-12-07,122.3127,125.7285,122.3028,125.3322,1739055.1623181
2020-12-08,125.2737,125.9664,124.1247,125.4216,637289.71719977
2020-12-09,125.6592,126.4215,120.987,122.9466,996376.42710577
2020-12-10,122.6001,123.2046,121.5207,121.8576,720435.06042127
2020-12-11,121.4523,122.8176,120.9174,122.5215,564681.86162287
2020-12-14,123.5601,124.8966,120.8178,120.9474,657015.1829516
2020-12-15,121.6698,125.1444,121.5207,124.1148,873692.27264283
2020-12-16,124.7088,125.1045,123.5502,123.9369,1138850.694484
2020-12-17,124.6494,126.2337,124.1247,125.2737,1078356.1011611
2020-12-18,124.986,126.4014,124.7589,125.3721,1753258.3461535
2020-12-21,124.6296,125.3424,121.1652,124.8474,1140907.2823717
2020-12-22,123.8673,127.134,123.5802,126.6588,1067862.0483294
2020-12-23,127.2333,127.4808,124.749,124.7589,505806.47772227
2020-12-24,124.7886,125.511,124.4121,125.3916,196745.56110586
2020-12-28,125.847,125.9865,124.7289,125.6196,470437.4085242
2020-12-29,126.4113,126.6291,125.6691,125.9064,311380.13360567
2020-12-30,126.5409,127.2732,126.2235,126.8967,409929.6837462
2020-12-31,126.7584,129.5502,126.2436,129.4209,524481.4270678
2021-01-04,130.392,130.59,127.4412,128.7084,1480819.0375272
2021-01-05,128.9754,129.7179,128.2434,128.6685,1130051.6094694
2021-01-06,129.0354,133.0842,128.6199,132.015,1048979.0159264
2021-01-07,131.5695,133.4601,131.3025,133.3815,904339.06857227
2021-01-08,132.0447,135.6684,132.0447,135.3411,807242.05938577
2021-01-11,134.757,138.3309,134.5494,137.3706,1158117.5694199
2021-01-12,137.4603,139.1232,137.3313,138.3807,970766.0492549
2021-01-13,138.5286,139.9053,138.4602,138.9354,1450726.7930469
2021-01-14,139.6377,139.6779,137.2614,138.588,983665.1785897
2021-01-15,137.9055,138.9651,135.906,136.5387,2824745.6861965
2021-01-19,138.6678,139.4301,136.7277,138.7176,919262.46221303
2021-01-20,139.7868,140.6874,137.9652,140.073,1299445.3597586
2021-01-21,140.4798,140.787,136.9356,137.8659,710437.98265877
2021-01-22,137.7576,137.9949,135.7467,136.9059,1155865.0198181
2021-01-25,137.0241,139.2621,136.2327,138.7575,857559.77502287
2021-01-26,139.1727,139.7172,136.9752,137.5983,996429.963038
2021-01-27,136.9752,140.0532,134.1039,137.6679,1632938.8637166
2021-01-28,137.8359,139.7769,135.4896,135.5589,1004855.3066388
2021-01-29,134.6487,134.6487,130.8672,131.8869,1151066.9881547
2021-02-01,133.1241,135.5991,132.1143,135.1533,895737.9654958
2021-02-02,135.6585,139.5294,135.1533,139.0533,926292.8412397
2021-02-03,138.7374,139.5195,137.49,138.618,901935.00218093
2021-02-04,139.1031,141.7767,138.7476,139.9746,845265.70273357
2021-02-05,140.2224,140.9049,138.4104,139.0347,697556.02522677
2021-02-08,139.5195,140.2419,138.3807,138.8952,506030.72257057
2021-02-09,139.0833,140.3604,138.4704,139.5483,431412.7442547
2021-02-10,140.3904,140.7768,137.6085,138.9153,538543.19523307
2021-02-11,139.47,139.6578,138.0636,138.8259,478043.55135047
2021-02-12,138.9549,139.9449,138.2913,138.4503,497348.8105398
2021-02-16,139.47,140.5782,137.856,140.3802,871679.11956807
2021-02-17,139.6377,141.4893,139.4301,141.0729,798471.25750523
2021-02-18,140.6676,141.8454,140.0343,141.2616,727833.1201901
2021-02-19,141.5688,142.2018,140.6874,140.8155,686298.32777673
2021-02-22,139.8456,139.8456,136.5093,138.0834,933392.91798947
2021-02-23,137.7963,137.856,135.3912,136.8261,1015464.5122303
2021-02-24,136.3215,138.6777,134.9658,138.4503,624519.88219183
2021-02-25,138.5388,139.9551,136.668,136.8066,662657.66818763
2021-02-26,136.9356,137.4507,134.3514,134.8365,963540.71862593
2021-03-01,136.1931,139.2912,135.9255,138.3309,713359.22635777
2021-03-02,138.0438,138.6678,135.6684,137.1234,635198.7855065
2021-03-03,136.5987,137.4207,133.1439,133.2921,636783.6511233
2021-03-04,134.1834,136.6383,132.183,134.5494,1214483.8352886
2021-03-05,135.579,141.4893,135.0444,141.0828,1229321.3694154
2021-03-08,141.2715,143.826,140.2518,141.3699,1786324.3601531
2021-03-09,141.2421,145.8057,141.2421,142.9845,1142420.4300415
2021-03-10,143.3898,143.6172,140.8257,140.9349,757502.12777217
2021-03-11,141.7665,141.7665,139.6578,140.9748,730335.16743853
2021-03-12,141.4299,141.9546,139.9647,141.2916,474037.4474396
2021-03-15,141.1623,142.8948,139.9947,142.8261,542643.23955337
2021-03-16,142.8948,143.8848,141.3501,142.3314,919757.4170583
2021-03-17,141.8262,142.6074,139.2723,140.895,1724933.7975491
2021-03-18,140.9349,142.7268,139.7673,141.8067,1862258.5143126
2021-03-19,141.8649,143.6373,140.6676,142.5786,2238153.4867192
2021-03-22,142.5786,144.9837,141.6276,143.9244,1245158.9143521
2021-03-23,142.6869,145.7262,142.6869,144.3696,1327085.0524751
2021-03-24,144.5187,145.3995,143.5884,144.132,657645.49279533
2021-03-25,144.3207,144.3207,142.3797,143.3799,693750.93358977
2021-03-26,143.4792,147.5283,143.1621,147.4488,634166.45111497
2021-03-29,146.5779,148.1814,145.9242,147.5679,530205.73137013
2021-03-30,147.3405,147.588,143.9442,144.2514,721842.1463385
2021-03-31,144.0936,145.9638,143.8161,144.2613,908267.3938646
2021-04-01,144.9639,148.2408,144.489,147.5778,669309.25524087
2021-04-05,147.726,149.1027,147.4389,148.8054,748712.133765
2021-04-06,148.4883,149.667,148.0629,149.3598,493716.44804267
